FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Science communication,750,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,4500,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,2957,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,1733,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,2435,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,2337,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,2291,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,1840,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,5217,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,1700,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,350,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Science communication,1888,Open Access books and book chapters,Open-Access-Bücher und -Buchkapitel,Livres et chapitres de livres en libre accès,Open Access Book Chapter
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,4980,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,4960,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,5000,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,2700,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,2950,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,2980,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,4770,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
Programmes,4950,Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),Investigator Initiated Clinical Trials (IICT),IICT - PPI Preparatory Grant
